Relatório de Informações Cadastrais e Financeiras de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 14/09/2020 10:30;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Externa - Interna;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Diária;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 13/09/2020;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor;Proibido Honrar
BID2928/OC-BR;11936;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa de Desenvolvimento Sustentável do Estado do Acre -PDSA Fase II;17944.001334/2012-95;TA644098;17/07/2013;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;72.000.000,00;20.000.000,00;46.938.461,55;Não
BID2933/OC-BR;11937;Pará;Estados;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa da Melhoria da Qualidade e Expansão da Cobertura da Educação Básica;17944.001435/2012-66;TA648253;16/12/2013;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;200.810.000,00;12.221.347,27;173.108.048,69;Não
BID2941/OC-BR;11996;Niterói;Municípios;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Desenvolvimento Urbano e Inclusão Social de Niterói - PROCIDADES;17944.001779/2006-27;TA447280;28/02/2014;28/05/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;26.470.000,00;0;24.805.617,98;Não
BID2957/OC-BR;11986;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa de Desenvolvimento Econômico do Distrito Federal - ADEs(PROCIDADES)- GDF;17944.001141/2012-34;TA651166;10/09/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;50.000.000,00;14.841.027,00;34.106.024,34;Não
BID2962/OC-BR;11925;Belo Horizonte;Municípios;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa de Recuperação Ambiental de Belo Horizonte - DRENURBS;17944.001466/2012-17;TA654751;18/12/2013;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;55.000.000,00;8.787.556,04;41.641.173,24;Não
BID2964/OC-BR;11885;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa Viário de Integração e Logística - Ceará IV;17944.000220/2013-17;TA655633;27/12/2013;27/01/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 2: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;400.000.000,00;0;360.000.000,06;Não
BID2984/OC-BR;11884;Sergipe;Estados;SE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Desenvolvimento do Turismo - PRODETUR NACIONAL;17944.000314/2013-88;TA664177;18/12/2013;14/05/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 2: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;60.000.000,00;0;15.559.440,54;Não
BID2992/OC-BR;11976;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa de Aceleração do Desenvolvimento da Educação do Amazonas - PADEAM.;17944.000215/2013-04;TA666706;05/08/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;151.180.000,00;26.371.768,78;87.115.511,97;Não
BID2999/OC-BR;11939;Cascavel;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Desenvolvimento Integrado (PDI) do Município de Cascavel;17944.000480/2013-84;TA660861;27/12/2013;27/09/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;28.750.000,00;0;26.706.379,09;Não
BID3001/OC-BR;11997;Alagoas;Estados;AL;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Projeto do Aperfeiçoamento da Gestão Fazendária de Alagoas - PROFISCAL;17944.000800/2010-53;TA671803;23/12/2013;23/07/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;7.000.000,00;0;5.671.720,55;Não
BID3039/OC-BR;11973;Pernambuco;Estados;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social;17944.000736/2013-53;TA670071;17/12/2013;30/06/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;400.000.000,00;0;348.387.096,76;Não
BID3040/OC-BR;11982;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Desenvolvimento Fazendário do Distrito Federal - PRODEFAZ/PROFISCO;17944.000557/2011-54;TA688279;29/02/2016;24/02/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;31.997.000,00;3.115.089,35;28.881.910,65;Não
BID3051/OC-BR;11886;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Projeto de Fortalecimento da Gestão Estadual de Saúde no Estado de São Paulo;17944.000881/2013-34;TA672465;25/06/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;270.000.000,00;15.650.308,00;242.249.849,51;Não
BID3061/OC-BR;11974;Alagoas;Estados;AL;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social - PROCONFIS/PBL.;17944.000510/2013-52;TA670325;23/12/2013;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;250.000.000,00;0;209.677.419,35;Não
BID3065/OC-BR;11929;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Gestão Fiscal do Estado do Paraná - PROFISCO;17944.000787/2013-85;TA672806;06/08/2014;06/10/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;8.500.000,00;0;8.075.000,00;Não
BID3079/OC-BR;11991;Florianópolis;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Projeto de Expansão e Aperfeiçoamento da Educação Infantil e do Ensino Fundamental em Florianópolis;17944.001063/2012-78;TA683918;14/07/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;58.860.000,00;5.946.728,64;51.061.197,54;Não
BID3127/OC-BR;11940;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa de Investimento Rodoviário - 1ª Fase;17944.001216/2013-68;TA672103;25/06/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;480.135.000,00;33.903.417,47;425.099.540,93;Não
BID3129/OC-BR;11887;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa Integrado de Inclusão Social e Requalificação Urbana - Família Paranaense;17944.000167/2013-46;TA672782;06/08/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;60.000.000,00;23.382.423,87;34.939.660,05;Não
BID3137/OC-BR;11981;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa Paraná Seguro;17944.000168/2013-91;TA672685;12/01/2017;12/01/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;67.200.000,00;48.950.405,73;18.249.594,27;Não
BID3138/OC-BR;11928;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Consolidação do Equilíbrio fiscal para o Desenvolvimento - PROCONFIS II;17944.001547/2013-06;TA671839;29/05/2014;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 2: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;200.000.000,00;0;188.000.000,00;Não
BID3139/OC-BR;11926;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Consolidação do Equilíbrio Fiscal e Melhoria da Prestação de Serviços Públicos - PROCONFIS/PBL;17944.001410/2013-43;TA673122;23/12/2013;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;184.000.000,00;0;160.258.064,52;Não
BID3168/OC-BR;11930;CAESB-DF;Entidades Estaduais Controladas;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa de Saneamento Ambiental da CAESB;17944.001381/2013-10;TA688240;24/10/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 2: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;170.840.000,00;50.249.121,97;115.622.903,77;Não
BID3241/OC-BR;11941;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;Programa de Oportunidades e Direitos do Estado do Rio Grande do Sul (POD);17944.001477/2012-05;TA691962;01/09/2014;01/02/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;50.000.000,00;0;47.500.000,00;Não
BID3262/OC-BR;11888;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;PROSUS - Programa de Fortalecimento do Sistema Único de Saúde na Região Metropolitana de Salvador;17944.000872/2014-24;TA696457;30/12/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;200.000.000,00;17.739.398,69;180.737.995,30;Não
BID3276/OC-BR;11977;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;Programa de Investimento Rodoviário do Estado de São Paulo - 2ª Fase.;17944.000682/2014-15;TA698918;23/09/2014;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;480.135.000,00;186.608.659,11;280.134.012,18;Não
BID3279/OC-BR;12634;Espírito Santo;Estados;ES;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;A;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Projeto Estado Presente;17944.000998/2014-07;TA700768;28/12/2017;28/12/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;56.000.000,00;45.121.209,00;10.878.791,00;Não
BID3289/OC-BR;11942;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Transporte Urbano de Fortaleza II;17944.001173/2014-00;TA709249;24/02/2016;24/02/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;57.908.000,00;2.171.557,05;55.736.442,95;Não
BID3303/OC-BR;12635;Belém;Municípios;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Saneamento Básico da Bacia da Estrada Nova - PROMABEN II;17944.000422/2014-31;TA684011;28/12/2017;28/12/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;125.000.000,00;66.045.726,54;5.756.273,46;Não
BID3395/OC-BR;11931;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa Viário de Integração e Logística - Ceará IV - 2ª Fase;17944.001639/2014-69;TA709528;01/06/2016;13/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;200.000.000,00;36.554.772,78;163.445.227,22;Não
BID3397/OC-BR;12398;Manaus;Municípios;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;PROEMEM - Projeto de Expansão e Melhoria Educacional da Rede Pública Municipal de Manaus;17944.001528/2014-52;TA713366;14/07/2017;14/07/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;52.000.000,00;31.932.775,93;20.067.224,07;Não
BID3400/OC-BR;11978;São Bernardo do Campo;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Fortalecimento do Sistema Único de Saúde;17944.001633/2014-91;TA711126;17/05/2016;17/05/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;59.050.000,00;16.836.782,77;42.213.217,23;Não
BID3408/OC-BR;11890;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Apoio às Reformas Sociais - PROARES III - 1ª Fase;17944.001706/2014-45;TA713781;01/06/2016;01/06/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;50.000.000,00;25.081.964,50;24.918.035,50;Não
BID3410/OC-BR;12399;Joinville;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Projeto Viva Cidade II - Revitalização Ambiental e Urbana do Município de Joinvile;17944.001652/2014-18;TA718172;01/08/2017;01/08/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;70.000.000,00;58.048.110,21;11.951.889,79;Não
BID3630/OC-BR;12396;Campo Grande;Municípios;MS;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Desenvolvimento Integrado - Viva Campo Grande II;17944.000894/2015-75;TA754167;12/05/2017;12/05/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;56.000.000,00;34.587.000,00;21.413.000,00;Não
BID3678/OC-BR;12633;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Fortalecimento da Inclusão Social e Redes de Atenção - PROREDES;17944.000970/2015-42;TA761400;28/12/2017;28/12/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;65.475.000,00;18.857.184,30;46.617.815,70;Não
BID3682/OC-BR;12397;Salvador;Municípios;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Prodetur - Programa Nacional de Desenvolvimento Turístico;17944.000235/2016-10;TA767010;06/06/2017;06/06/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;52.512.340,00;42.676.070,00;9.836.270,00;Não
BID3703/OC-BR;12632;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Expansão e Melhoria da Assistência Especializada à Saúde - PROEXMAES II;17944.000527/2016-52;TA770328;28/12/2017;28/12/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;123.000.000,00;47.532.158,95;75.467.841,05;Não
BID3708/OC-BR;12681;Santo André;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa de Mobilidade Urbana Sustentável de Santo André;17944.000032/2016-23;TA774993;16/07/2018;16/07/2023;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;25.000.000,00;19.294.027,09;5.705.972,91;Não
BID3866/OC-BR;12607;BNDES;Bancos Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;Totalmente Desembolsado;Programa de Financiamento para Energia Sustentável - Convênio de Linha de Crédito Condicional (CCLIP);10951.000799/2016-14;TA785483;10/11/2017;10/11/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;750.000.000,00;0;750.000.000,00;Não
BID4299/OC-BR;12631;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;Programa Estratégico de Infraestrutura e Logística de Transportes do Paraná;17944.000200/2017-61;TA808347;20/12/2017;20/12/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;235.000.000,00;174.320.057,09;60.679.942,91;Não
BID4302/OC-BR;12688;Salvador;Municípios;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;Projeto Novo Mané Dendê;17944.000632/2017-72;TA808820;26/06/2018;26/06/2023;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;67.500.000,00;65.200.000,00;2.300.000,00;Não
BID4358/OC-BR;12686;FINEP;Estatais Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;Desembolsando;Programa Inovar como Indutora do Crescimento Brasileiro em Setores Estratégicos;17944.100771/2017-03;TA811823;01/08/2018;01/08/2023;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;600.000.000,00;267.179.866,46;332.820.133,54;Não
BID4404/OC-BR;12711;CELESC-SC;Entidades Estaduais Controladas;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;Programa de Investimento em Infraestrutura Energética da CELESC - BID;17944.100691/2017-40;TA825422;31/10/2018;31/10/2023;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;276.051.000,00;152.720.552,46;123.330.447,54;Não
