Relatório de Informações Cadastrais e Financeiras de Garantias
Data de Emissão: 13/01/2022 08:16
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Diária
Tipo de Cálculo: Apropriação
Data de Referência: 31/12/2021

Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor;Proibido Honrar;Honra no Vencimento
BB - 2021111;13319;Gaspar;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Investimentos no âmbito do Programa Avança Gaspar. Lei nº 4033, de 11/12/2019.";17944.101588/2021-01;2021004382;08/12/2021;30/06/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 121% CDI Juros + 0%, Tranche Prevista 1: 121% CDI Juros + 0%;R$;30.000.000,00;10.000.000,00;20.000.000,00;Não;Não
BB - 2021118;13323;São Bento do Sul;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Eficiência Municipal. Aquisição de Máquinas, Equipamentos e Veículos. Lei nº 4.395, de 09/06/2021.";17944.102400/2021-34;Prov789def;13/12/2021;13/12/2022;;Tranche Prevista 1: Pós-fixado;Tranche Prevista 1: 115% CDI Juros + 0%;R$;8.000.000,00;8.000.000,00;0,00;Não;Não
BB - 2021124;13320;Chapecó;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa de Investimento em Obras e Regularização Fundiária. Lei nº 7.520, de 06/08/2021.";17944.103483/2021-89;Prov789abc;10/12/2021;30/12/2023;;Tranche Prevista 1: Pós-fixado;Tranche Prevista 1: 114,5% CDI Juros + 0%;R$;300.000.000,00;300.000.000,00;0,00;Não;Não
BB Viena 01/2013;12226;Belo Horizonte;Municípios;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BB Viena;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Recuperação da Bacia Hidrográfica da Pampulha";17944.000216/2013-41;TA656553;20/12/2013;03/06/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado, Tranche Prevista 2: Pós-fixado;Tranche Efetiva 1: 100% Libor + 3,75%, Tranche Efetiva 2: 100% Libor + 3,75%, Tranche Prevista 1: 100% Libor + 3,75%, Tranche Prevista 2: 100% Libor + 3,75%;USD;75.000.000,00;0,00;45.582.365,84;Não;Não
BB-CAIXA - 2020104;13111;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Despesas de Capital conforme a Lei nº 20.010, de 13/11/2019";17944.102693/2020-79;52863559, 2020003198;09/09/2020;12/02/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 122% CDI Juros + 0%, Tranche Efetiva 2: 122% CDI Juros + 0%, Tranche Prevista 1: 122% CDI Juros + 0%;R$;1.600.000.000,00;800.000.000,00;785.714.285,72;Não;Não
BB-ITAU - 2019134;12911;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Aporte Público para a Duplicação do Trecho Serra do Projeto Tamoios. Lei nº 15.567, de 30/10/2014";17944.102767/2019-33;2019002205, 2020003699, 102767;31/10/2019;12/02/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% CDI Juros + 1,82%, Tranche Efetiva 2: 100% CDI Juros + 1,82%, Tranche Prevista 1: 100% CDI Juros + 1,82%;R$;900.000.000,00;135.000.000,00;739.975.446,09;Não;Não
BB-ITAU-SANTANDER - 2019144;12914;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Amortizando;"Amortização da Dívida Pública Estadual do Triênio 2019-2021. Lei nº 16.975, de 20/09/2019";17944.104009/2019-50;2019144, 2019002346, 104009;02/12/2019;02/05/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Efetiva 3: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Efetiva 2: 120% CDI Juros + 0%, Tranche Efetiva 3: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%;R$;550.400.000,00;0,00;463.494.736,85;Não;Não
BBVA-TO/2012;12256;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BBVA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto de Infraestrutura Rodoviária - PIER";17944.000574/2012-72;TA636481;19/11/2012;31/12/2017;;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 4,73%, Tranche Prevista 1: 4,73%;USD;143.198.163,00;0,00;14.617.139,56;Não;Não
BEI FI N. 0.2175;12217;TBG;Estatais Federais;00;Federal;Garantias a Estatais Federais;;Externa;BEI;Organismos Multilaterais;Recursos creditados mensalmente à conta de Serviço da Dívida MLAs;Concluído;"Projeto Brasil-Bolívia Gasoduto";10951.000061/1998-12;;23/11/1998;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 0,15%, Tranche Prevista 1: 100% Libor + 0,15%;USD;60.000.000,00;0,00;0,00;Não;Não
BEI FI N. 83193;12216;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BEI;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Aquisição de Trens para a Companhia Paulista de Trens Metropolitanos";17944.000379/2014-12;TA699893;20/10/2014;20/10/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% EURIBOR6m + 0,041%, Tranche Efetiva 2: 100% EURIBOR6m + 0,041%, Tranche Prevista 1: 100% EURIBOR6m + 0,041%;EUR;200.000.000,00;0,00;180.000.000,02;Não;Não
BID 695/OC-BR;11827;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"A definir.";00101.680056/0692-00;;09/12/1992;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;159.300.000,00;0,00;0,00;Não;Não
BID 869/SF-BR;11828;Pará;Estados;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"A definir.";00101.680073/7691-33;;27/01/1993;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCL 1 + 0%, Tranche Prevista 1: 100% BID SCL 1 + 0%;USD;30.000.000,00;0,00;0,00;Não;Não
BID1019/OC-BR;11893;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"A definir";00109.510004/5497-46;;19/12/1997;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% CPS BID + 0%, Tranche Prevista 1: 100% CPS BID + 0%;USD;115.000.000,00;0,00;0,00;Não;Não
BID1037/OC-BR;12028;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Baixada Viva - Urbanização Integrada de Bairros da Baixada Fluminense";00109.510006/5497-35;S9723852;28/07/1999;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 100% BID SCL 1 + 0%, Tranche Prevista 1: 4,84%;USD;180.000.000,00;0,00;27.310.265,86;Não;Sim
BID1051/OC-BR;11950;ELETROBRÁS;Estatais Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Créditos da Eletrobrás junto a sua controlada CHESF - Cia Hidroelétrica do São Francisco;Concluído;"A definir.";10951.000862/1997-52;;06/04/1998;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;307.000.000,00;0,00;0,00;Não;Não
BID1077/OC-BR;11844;TBG;Estatais Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Recursos creditados mensalmente à conta de Serviço da Dívida MLAs;Concluído;"A definir";10951.001014/1997-89;;15/12/1998;31/12/2017;;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 3,23%, Tranche Prevista 1: 3,23%;USD;240.000.000,00;0,00;0,00;Não;Não
BID1095/OC-BR;11840;Porto Alegre;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"A definir.";00109.510009/4797-11;;28/07/1998;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;76.500.000,00;0,00;0,00;Não;Não
BID1125/OC-BR;11894;BNDES;Bancos Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Resolução do SF nº 96, de 15.12.1989;Concluído;"A definir.";00109.510005/5898-22;;14/03/1999;31/07/2017;;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 5,74%;USD;1.100.000.000,00;0,00;0,00;Não;Não
BID1191/OC-BR;11951;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"Programa de Integração dos Corredores Rodoviários do Estado da Bahia";00109.510001/5999-98;;27/12/1999;31/12/2017;;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 4,63%, Tranche Prevista 1: 4,63%;USD;146.000.000,00;0,00;0,00;Não;Não
BID1212/OC-BR;11847;SABESP-SP;Entidades Estaduais Controladas;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Amortizando;"Projeto de Despoluição do  Rio Tietê - Etapa III";00109.510008/3498-06;TA052425;19/07/2000;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCL 1 + 0%, Tranche Prevista 1: 100% BID SCL 1 + 0%;USD;200.000.000,00;0,00;41.112.383,56;Não;Não
BID1241/OC-BR;11841;Rio de Janeiro;Municípios;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Urbanização de Assentamentos Populares, ""Favela-Bairro"" - 2ª Etapa (PROAP II)";00109.510000/5200-18;TA063053;29/03/2000;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;180.000.000,00;0,00;34.953.071,40;Não;Não
BID1288/OC-BR;11895;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Saneamento Básico do Distrito Federal
.";00109.510006/5397-72;TA096800;11/06/2001;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% CPS BID + 0%, Tranche Prevista 1: 100% CPS BID + 0%;USD;130.000.000,00;0,00;35.809.405,30;Não;Não
BID1308/OC-BR;12032;Banco do Nordeste;Bancos Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Receitas Próprias;Amortizando;"Programa de Expansão de Mercados para as pequenas e médias empresas no Nordeste - PME";00109.510014/8200-94;TA101462;31/07/2003;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCL 1 + 0%, Tranche Prevista 1: 100% BID SCL 1 + 0%;USD;150.000.000,00;0,00;592.672,50;Não;Não
BID1351/OC-BR;11953;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Recuperação de Rodovias do Estado de São Paulo";10951.000994/2001-68;TA139239;23/07/2002;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;120.000.000,00;0,00;4.320.299,34;Não;Não
BID1354/OC-BR;11843;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Ação nos Cortiços do Estado de São Paulo (PAC) - Primeira Fase";10951.000823/2001-39;TA139409;23/07/2002;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;34.000.000,00;0,00;7.049.998,39;Não;Não
BID1357/OC-BR;11842;Pernambuco;Estados;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao Desenvolvimento Sustentável da Zona da Mata de Pernambuco";10951.001023/2001-35;TA136996;05/06/2002;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;90.000.000,00;0,00;27.435.133,27;Não;Não
BID1374/OC-BR;12029;BNDES;Bancos Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;Concluído;"A definir";10951.000394/2001-08;;09/05/2002;31/07/2017;;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 5,44%;USD;900.000.000,00;0,00;0,00;Não;Não
BID1390/OC-BR;11952;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Rodoviário do Estado de Santa Catarina - IV etapa";10951.001361/2001-77;TA232571;09/05/2002;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;150.000.000,00;0,00;5.628.680,63;Não;Não
BID1392/OC-BR;11854;Banco do Nordeste;Bancos Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Receitas Próprias;Amortizando;"Programa de Desenvolvimento do Turismo do Nordeste - PRODETUR/NE II.";10951.000083/2002-11;TA163842;27/09/2002;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCL 1 + 0%, Tranche Prevista 1: 100% BID SCL 1 + 0%;USD;240.000.000,00;0,00;78.846.527,24;Não;Não
BID1399/OC-BR;11852;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento Sustentável do Acre";17944.000253/2002-04;TA178438;23/06/2002;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCL 1 + 0%, Tranche Prevista 1: 100% BID SCL 1 + 0%;USD;64.800.000,00;0,00;2.307.229,64;Não;Não
BID1404/OC-BR;11896;Pará;Estados;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Apoio ao PARÁ URBE - Primeira Fase";10951.000334/2002-68;TA182111;03/07/2002;31/12/2017;;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 4,35%, Tranche Prevista 1: 4,35%;USD;48.000.000,00;0,00;13.600.114,80;Não;Não
BID1405/OC-BR;12031;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Paraná Urbano II";19406.000041/2002-31;TA187456;03/07/2002;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% CPS BID + 0%, Tranche Prevista 1: 100% CPS BID + 0%;USD;100.000.000,00;0,00;33.940.070,07;Não;Não
BID1414/OC-BR;11897;SANEAGO-GO;Entidades Estaduais Controladas;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Amortizando;"Programa de Água e Saneamento de Goiânia";10951.000171/2002-13;TA185204;11/12/2002;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% SCFLibor10 + 0%, Tranche Prevista 1: 100% SCFLibor10 + 0%;USD;47.600.000,00;0,00;15.465.900,28;Não;Não
BID1479/OC-BR;11857;São Paulo;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de reabilitação da área central do município de São Paulo - PROCENTRO";17944.000772/2003-45;TA259861;02/06/2004;25/02/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;100.400.000,00;0,00;42.262.557,95;Não;Não
BID1486/OC-BR;11845;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Cultura e Cidadania para a Inclusão Social: Fábricas de Cultura";17944.000340/2003-34;TA264715;29/05/2004;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;20.000.000,00;0,00;8.567.472,04;Não;Não
BID1502/OC-BR;11955;CAGECE-CE;Entidades Estaduais Controladas;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Amortizando;"Programa de Infra-estrutura Básica e Saneamento";19407.000042/2003-57;TA275299;22/10/2004;31/12/2017;;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 4,25%, Tranche Prevista 1: 4,25%;USD;100.000.000,00;0,00;41.038.802,88;Não;Não
BID1526/OC-BR;11954;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Transporte Urbano de Curitiba II";19406.000203/2003-12;TA272173;12/05/2004;15/08/2017;;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 0,5%, Tranche Prevista 1: 0,5%;JPY;8.502.249.000,00;0,00;1.417.041.500,00;Não;Não
BID1543/OC-BR;12033;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Fortalecimento da Gestão Fiscal - PROFFIS";10951.001032/2003-98;TA287969;10/08/2004;31/12/2017;;Tranche Efetiva 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%;USD;20.000.000,00;0,00;3.774.559,41;Não;Não
BID1563/OC-BR;11898;Belo Horizonte;Municípios;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Recuperação Ambiental e Saneamento dos Córregos em Leito Natural de Belo Horizonte - DRENURBS";19405.000075/2003-17;TA295932;02/07/2004;15/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;46.500.000,00;0,00;17.800.878,84;Não;Não
BID1571/OC-BR;11848;São Bernardo do Campo;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Transporte Urbano de São Bernardo do Campo";17944.000207/2004-69;TA312238;31/03/2006;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;72.000.000,00;0,00;23.414.780,95;Não;Não
BID1572/OC-BR;11957;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Transporte Urbano de Fortaleza";19407.000060/2003-39;TA384538;19/12/2006;30/06/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;85.200.000,00;0,00;29.626.118,70;Não;Não
BID1608/OC-BR;11860;BNDES;Bancos Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;Amortizando;"Programa BNDES de Apoio às Micro, Pequenas e Médias Empresas";10951.001108/2004-66;TA320738;23/09/2005;31/12/2009;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;1.000.000.000,00;0,00;250.000.000,00;Não;Não
BID1611/OC-BR;11846;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto de Avaliação e Aprimoramento da Política Social";17944.001071/2004-12;TA299531;27/06/2005;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;5.000.000,00;0,00;913.084,32;Não;Não
BID1675/OC-BR;11956;Espírito Santo;Estados;ES;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;A;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Rodoviário do Espírito Santo II";19405.000020/2005-79;TA360982;28/03/2006;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;73.500.000,00;0,00;22.050.000,00;Não;Não
BID1681/OC-BR;12036;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto de Desenvolvimento do Ecoturismo na Região da Mata Atlântica";17944.000908/2005-89;TA359227;20/03/2006;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;9.000.000,00;0,00;4.021.974,44;Não;Não
BID1692/OC-BR;11899;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM";17944.001226/2005-93;TA364675;19/01/2006;30/06/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;140.000.000,00;0,00;66.315.789,40;Não;Não
