Relatório de Informações Cadastrais e Financeiras de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 09:26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Diária;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Modalidade de Contratação;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Encargos;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor;Proibido Honrar;Honra no Vencimento;Contrato RRF
BID 695/OC-BR;11827;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Concluído;A definir.;00101.680056/0692-00;;09/12/1992;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;159.300.000,00;0;0;Não;Não;Não
BID 869/SF-BR;11828;Pará;Estados;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Concluído;A definir.;00101.680073/7691-33;;27/01/1993;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCL 1 + 0%, Tranche Efetiva 1: 100% BID SCL 1 + 0%;;USD;30.000.000,00;0;0;Não;Não;Não
BID1019/OC-BR;11893;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Concluído;A definir;00109.510004/5497-46;;19/12/1997;31/07/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% CPS BID + 0%, Tranche Efetiva 1: 100% CPS BID + 0%;;USD;115.000.000,00;0;0;Não;Não;Não
BID1037/OC-BR;12028;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa Baixada Viva - Urbanização Integrada de Bairros da Baixada Fluminense;00109.510006/5497-35;S9723852;28/07/1999;31/07/2017;;Tranche Prevista 1: Pré-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 4,84%, Tranche Efetiva 1: 100% BID SCL 1 + 0%;;USD;180.000.000,00;0;22.758.554,86;Não;Sim;Não
BID1051/OC-BR;11950;ELETROBRÁS;Estatais Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Créditos da Eletrobrás junto a sua controlada CHESF - Cia Hidroelétrica do São Francisco;BID ;Concluído;A definir.;10951.000862/1997-52;;06/04/1998;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;307.000.000,00;0;0;Não;Não;Não
BID1077/OC-BR;11844;TBG;Estatais Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Recursos creditados mensalmente à conta de Serviço da Dívida MLAs;BID ;Concluído;A definir;10951.001014/1997-89;;15/12/1998;31/12/2017;;Tranche Prevista 1: Pré-fixado, Tranche Efetiva 1: Pré-fixado;Tranche Prevista 1: 3,23%, Tranche Efetiva 1: 3,23%;;USD;240.000.000,00;0;0;Não;Não;Não
BID1095/OC-BR;11840;Porto Alegre;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Concluído;A definir.;00109.510009/4797-11;;28/07/1998;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;76.500.000,00;0;0;Não;Não;Não
BID1125/OC-BR;11894;BNDES;Bancos Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Resolução do SF nº 96, de 15.12.1989;BID ;Concluído;A definir.;00109.510005/5898-22;;14/03/1999;31/07/2017;;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 5,74%;;USD;1.100.000.000,00;0;0;Não;Não;Não
BID1191/OC-BR;11951;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Concluído;Programa de Integração dos Corredores Rodoviários do Estado da Bahia;00109.510001/5999-98;;27/12/1999;31/12/2017;;Tranche Prevista 1: Pré-fixado, Tranche Efetiva 1: Pré-fixado;Tranche Prevista 1: 4,63%, Tranche Efetiva 1: 4,63%;;USD;146.000.000,00;0;0;Não;Não;Não
BID1212/OC-BR;11847;SABESP-SP;Entidades Estaduais Controladas;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;BID ;Amortizando;Projeto de Despoluição do  Rio Tietê - Etapa III;00109.510008/3498-06;TA052425;19/07/2000;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCL 1 + 0%, Tranche Efetiva 1: 100% BID SCL 1 + 0%;;USD;200.000.000,00;0;35.973.335,61;Não;Não;Não
BID1241/OC-BR;11841;Rio de Janeiro;Municípios;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;"Programa de Urbanização de Assentamentos Populares, ""Favela-Bairro"" - 2ª Etapa (PROAP II)";00109.510000/5200-18;TA063053;29/03/2000;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;180.000.000,00;0;29.959.775,49;Não;Não;Não
BID1288/OC-BR;11895;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;"Programa de Saneamento Básico do Distrito Federal
.";00109.510006/5397-72;TA096800;11/06/2001;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% CPS BID + 0%, Tranche Efetiva 1: 100% CPS BID + 0%;;USD;130.000.000,00;0;35.809.405,30;Não;Não;Não
BID1308/OC-BR;12032;Banco do Nordeste;Bancos Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Receitas Próprias;BID ;Amortizando;Programa de Expansão de Mercados para as pequenas e médias empresas no Nordeste - PME;00109.510014/8200-94;TA101462;31/07/2003;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCL 1 + 0%, Tranche Efetiva 1: 100% BID SCL 1 + 0%;;USD;150.000.000,00;0;444.504,40;Não;Não;Não
BID1351/OC-BR;11953;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Recuperação de Rodovias do Estado de São Paulo;10951.000994/2001-68;TA139239;23/07/2002;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;120.000.000,00;0;4.320.299,34;Não;Não;Não
BID1354/OC-BR;11843;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Ação nos Cortiços do Estado de São Paulo (PAC) - Primeira Fase;10951.000823/2001-39;TA139409;23/07/2002;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;34.000.000,00;0;7.049.998,39;Não;Não;Não
BID1357/OC-BR;11842;Pernambuco;Estados;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Apoio ao Desenvolvimento Sustentável da Zona da Mata de Pernambuco;10951.001023/2001-35;TA136996;05/06/2002;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;90.000.000,00;0;27.435.133,27;Não;Não;Não
BID1374/OC-BR;12029;BNDES;Bancos Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;BID ;Concluído;A definir;10951.000394/2001-08;;09/05/2002;31/07/2017;;Tranche Prevista 1: Pré-fixado;Tranche Prevista 1: 5,44%;;USD;900.000.000,00;0;0;Não;Não;Não
BID1390/OC-BR;11952;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa Rodoviário do Estado de Santa Catarina - IV etapa;10951.001361/2001-77;TA232571;09/05/2002;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;150.000.000,00;0;5.628.680,63;Não;Não;Não
BID1392/OC-BR;11854;Banco do Nordeste;Bancos Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Receitas Próprias;BID ;Amortizando;Programa de Desenvolvimento do Turismo do Nordeste - PRODETUR/NE II.;10951.000083/2002-11;TA163842;27/09/2002;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCL 1 + 0%, Tranche Efetiva 1: 100% BID SCL 1 + 0%;;USD;240.000.000,00;0;72.275.983,30;Não;Não;Não
BID1399/OC-BR;11852;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Desenvolvimento Sustentável do Acre;17944.000253/2002-04;TA178438;23/06/2002;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCL 1 + 0%, Tranche Efetiva 1: 100% BID SCL 1 + 0%;;USD;64.800.000,00;0;2.307.229,64;Não;Não;Não
BID1404/OC-BR;11896;Pará;Estados;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Apoio ao PARÁ URBE - Primeira Fase;10951.000334/2002-68;TA182111;03/07/2002;31/12/2017;;Tranche Prevista 1: Pré-fixado, Tranche Efetiva 1: Pré-fixado;Tranche Prevista 1: 4,35%, Tranche Efetiva 1: 4,35%;;USD;48.000.000,00;0;12.466.771,90;Não;Não;Não
BID1405/OC-BR;12031;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Paraná Urbano II;19406.000041/2002-31;TA187456;03/07/2002;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% CPS BID + 0%, Tranche Efetiva 1: 100% CPS BID + 0%;;USD;100.000.000,00;0;31.111.730,90;Não;Não;Não
BID1414/OC-BR;11897;SANEAGO-GO;Entidades Estaduais Controladas;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Água e Saneamento de Goiânia;10951.000171/2002-13;TA185204;11/12/2002;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% SCFLibor10 + 0%, Tranche Efetiva 1: 100% SCFLibor10 + 0%;;USD;47.600.000,00;0;14.177.075,26;Não;Não;Não
BID1479/OC-BR;11857;São Paulo;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de reabilitação da área central do município de São Paulo - PROCENTRO;17944.000772/2003-45;TA259861;02/06/2004;25/02/2018;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;100.400.000,00;0;42.262.557,95;Não;Não;Não
BID1486/OC-BR;11845;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Cultura e Cidadania para a Inclusão Social: Fábricas de Cultura;17944.000340/2003-34;TA264715;29/05/2004;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;20.000.000,00;0;7.996.307,23;Não;Não;Não
BID1502/OC-BR;11955;CAGECE-CE;Entidades Estaduais Controladas;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Infra-estrutura Básica e Saneamento;19407.000042/2003-57;TA275299;22/10/2004;31/12/2017;;Tranche Prevista 1: Pré-fixado, Tranche Efetiva 1: Pré-fixado;Tranche Prevista 1: 4,25%, Tranche Efetiva 1: 4,25%;;USD;100.000.000,00;0;38.473.877,70;Não;Não;Não
BID1526/OC-BR;11954;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Transporte Urbano de Curitiba II;19406.000203/2003-12;TA272173;12/05/2004;15/08/2017;;Tranche Prevista 1: Pré-fixado, Tranche Efetiva 1: Pré-fixado;Tranche Prevista 1: 0,5%, Tranche Efetiva 1: 0,5%;;JPY;8.502.249.000,00;0;1.133.633.200,00;Não;Não;Não
BID1543/OC-BR;12033;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Fortalecimento da Gestão Fiscal - PROFFIS;10951.001032/2003-98;TA287969;10/08/2004;31/12/2017;;Tranche Efetiva 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;20.000.000,00;0;3.145.466,18;Não;Não;Não
BID1563/OC-BR;11898;Belo Horizonte;Municípios;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Recuperação Ambiental e Saneamento dos Córregos em Leito Natural de Belo Horizonte - DRENURBS;19405.000075/2003-17;TA295932;02/07/2004;15/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;46.500.000,00;0;16.614.153,58;Não;Não;Não
BID1571/OC-BR;11848;São Bernardo do Campo;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Transporte Urbano de São Bernardo do Campo;17944.000207/2004-69;TA312238;31/03/2006;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;72.000.000,00;0;20.813.138,62;Não;Não;Não
BID1572/OC-BR;11957;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Transporte Urbano de Fortaleza;19407.000060/2003-39;TA384538;19/12/2006;30/06/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;85.200.000,00;0;29.626.118,70;Não;Não;Não
BID1608/OC-BR;11860;BNDES;Bancos Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;BID ;Amortizando;Programa BNDES de Apoio às Micro, Pequenas e Médias Empresas;10951.001108/2004-66;TA320738;23/09/2005;31/12/2009;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;1.000.000.000,00;0;218.750.000,00;Não;Não;Não
BID1611/OC-BR;11846;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Projeto de Avaliação e Aprimoramento da Política Social;17944.001071/2004-12;TA299531;27/06/2005;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;5.000.000,00;0;913.084,32;Não;Não;Não
BID1675/OC-BR;11956;Espírito Santo;Estados;ES;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;A;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa Rodoviário do Espírito Santo II;19405.000020/2005-79;TA360982;28/03/2006;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;73.500.000,00;0;19.600.000,00;Não;Não;Não
BID1681/OC-BR;12036;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Projeto de Desenvolvimento do Ecoturismo na Região da Mata Atlântica;17944.000908/2005-89;TA359227;20/03/2006;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;9.000.000,00;0;3.798.531,42;Não;Não;Não
BID1692/OC-BR;11899;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM;17944.001226/2005-93;TA364675;19/01/2006;30/06/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;140.000.000,00;0;62.631.578,87;Não;Não;Não
BID1709/OC-BR;11862;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Melhoria da Acessibilidade de Municípios de Pequeno Porte de MG - PROACESSO;19405.000034/2005-92;TA375760;28/04/2006;30/06/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;50.000.000,00;0;21.451.796,54;Não;Sim;Não
BID1727/OC-BR;11900;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Modernização e Transparência da Gestão Fiscal - PROMOSEFAZ II;19407.000030/2005-94;TA376520;07/07/2006;30/06/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;12.000.000,00;0;5.557.689,82;Não;Não;Não
BID1735/OC-BR;11958;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Recuperação de Rodovias.;17944.001673/2005-42;TA357461;28/02/2008;31/12/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;30.000.000,00;0;10.650.619,26;Não;Não;Não
BID1738/OC-BR;12037;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Fortalecimento da Atividade Empresarial.;19407.000003/2006-01;TA382030;07/07/2006;30/06/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;10.000.000,00;0;2.486.783,34;Não;Não;Não
BID1860/OC-BR;11849;BNDES;Bancos Federais;0;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;BID ;Amortizando;Programa BNDES de Crédito Multisetorial de Apoio às Micro, Pequenas e Médias Empresas;10951.000001/2007-43;TA419057;19/10/2007;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;1.000.000.000,00;0;343.750.000,00;Não;Não;Não
BID1909/OC-BR;11863;Joinville;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Projeto de Revitalização Ambiental e Qualificação Urbana das Bacias dos Rios Cachoeira, Cubatão e Piraí;19406.000050/2007-37;TA429122;29/01/2008;30/06/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;32.670.000,00;0;17.798.758,22;Não;Não;Não
BID1911/OC-BR;11850;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Fortalecimento da Competitividade das Empresas Localizadas em Arranjos Produtivos;17944.000473/2006-53;TA377022;13/06/2008;31/08/2018;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;10.000.000,00;0;3.872.820,74;Não;Não;Não
BID1957/OC-BR;11901;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Transporte Urbano do Distrito Federal;17944.001477/2007-30;TA445042;30/01/2008;28/01/2020;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;176.775.000,00;0;89.932.473,97;Não;Não;Não
BID1960/OC-BR;12038;Campo Grande;Municípios;MS;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;BID ;Amortizando;Programa de Desenvolvimento Integrado -Viva Campo Grande;12345.678910/1112-05;TA446227;30/01/2008;31/08/2017;;Tranche Prevista 1: Pós-fixado, Tranche Efetiva 1: Pós-fixado;Tranche Prevista 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 1: 100% BID SCFL 1 + 0%;;USD;19.382.000,00;0;10.662.891,38;Não;Não;Não
