Relatório de Informações Cadastrais e Financeiras de Garantias
Data de Emissão: 19/11/2019 14:44
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Diária
Tipo de Cálculo: Apropriação
Data de Referência: 18/11/2019

Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor
BID2618/OC-BR;11916;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Rodoanel Mario Covas - Trecho Norte";17944.001690/2011-28;LINHA129;14/06/2012;14/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;1.148.633.000,00;0,00;988.488.871,54;
BID2646/OC-BR;11818;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Saneamento Ambiental dos Municípios do Entorno da Baía de Guanabara - PSAM";17944.001671/2011-00;TA599454;20/03/2012;20/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;451.980.000,00;350.307.000,00;88.963.875,00;
BID2676/OC-BR;11914;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM III";17944.001694/2011-14;LINHA124;16/03/2012;16/03/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;280.000.000,00;33.815.516,62;199.486.563,63;
BID2700/OC-BR;11917;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Amortizando;"Programa de Expansão e Modernização do Sistema Elétrico da Região Metropolitana de Porto Alegre e da Área de Abrangência do Grupo CEEE ¿ Pró-Energia RS";17944.001348/2011-28;TA609550;19/09/2012;19/12/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;130.556.650,00;0,00;114.260.863,26;
BID2715/OC-BR;11943;São Luís;Municípios;MA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Revitalização do Centro Histórico do Município de São Luis ¿ PRCHSL";17944.000531/2009-91;Linha181;29/11/2016;29/11/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;13.590.000,00;11.694.911,32;1.895.088,68;
BID2746/OC-BR;12003;Blumenau;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa Mobilidade Sustentável de Blumenau";17944.001412/2011-71;Linha132;22/08/2012;22/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;59.000.000,00;6.974.192,74;47.557.825,22;
BID2751OC-BR;11934;Colatina;Municípios;ES;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento Urbano e Saneamento Ambiental de Colatina";17944.001683/2011-26;Linha136;26/10/2012;26/05/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;11.000.000,00;0,00;8.923.091,20;
BID2752/OC-BR;12002;Novo Hamburgo;Municípios;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Desenvolvimento Municipal Integrado de Novo Hamburgo ¿ PROCIDADES";17944.000989/2011-65;Linha137;26/10/2012;26/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;23.910.000,00;6.745.000,00;16.080.495,84;
BID2762/OCBR;11819;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Inclusão Social e Oportunidades para Jovens no Rio de Janeiro";17944.000240/2012-07;TA622271;22/02/2013;22/02/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;60.000.000,00;0,00;16.552.297,40;
BID2784/OC-BR;11879;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Projeto de Modernização Fiscal do Estado do Tocantins ¿ PROFISCO-TO";17944.000021/2011-39;Linha135;19/10/2012;19/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;40.431.000,00;8.142.823,27;28.554.860,80;
BID2813/OC-BR;11935;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Amortizando;"Programa de Expansão e Modernização do Sistema Elétrico da Região Metropolitana de Porto Alegre e Área de Abrangência do Grupo CEEE-GT.";17944.000545/2012-19;TA630433;28/12/2012;28/12/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;88.655.996,00;0,00;80.933.335,49;
BID2826/OC-BR;11883;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Desenvolvimento Urbano de Polos Regionais (Programa Cidades do Ceará II)";17944.000914/2012-65;Linha150;02/09/2013;02/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;66.500.000,00;7.375.945,00;53.400.000,00;
BID2841/OC-BR;12191;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado da Bahia ¿ PROCONFIS II";17944.001253/2012-95;mv001350;21/12/2012;31/01/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 2: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;600.000.000,00;0,00;572.400.000,00;
BID2846/OC-BR;11938;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Saneamento Integrado de Maués ¿ PROSAIMAUÉS";17944.001191/2012-11;Linha156;23/12/2013;23/09/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;24.500.000,00;0,00;23.955.651,25;
BID2850/OC-BR;11880;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Consolidação do Equilíbrio Fiscal do Estado do Rio Grande do Sul ¿ PROCONFIS";17944.001217/2012-21;Linha140;21/12/2012;23/12/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;200.000.000,00;0,00;180.000.000,00;
BID2888/OC-BR;11882;São Bernardo do Campo;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Transporte Urbano de são Bernardo do Campo/SP";17944.002111/2011-64;Linha145;25/06/2013;25/06/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;125.000.000,00;16.117.219,37;102.915.931,05;
BID2900/OC-BR;12001;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa Rodoviário de Santa Catarina - ETAPA VI - DEINFRA";17944.001133/2012-98;Linha142;09/01/2013;28/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;250.000.000,00;22.736.342,76;204.998.829,99;
BID2901/OC-BR;11999;Pernambuco;Estados;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Saneamento Ambiental da Bacia do Rio Ipojuca - PSA, Estado Pernambuco";17944.000508/2012-01;Linha147;07/08/2013;07/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;200.000.000,00;83.854.506,76;112.919.229,54;
BID2906/OC-BR;11972;Goiás;Estados;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Modernização da Administração Fazendária do Estado de Goiás ¿ PROFISCO.";17944.001124/2010-35;linha148;23/08/2013;06/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;11.577.000,00;0,00;10.040.884,19;
BID2912/OC-BR;12739;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa Nacional de Desenvolvimento do Turismo - PRODETUR - Bahia";17944.001198/2012-33;linha163;23/04/2014;23/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;50.822.905,00;17.765.349,64;28.572.190,29;
BID2914/OC-BR;12736;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Modernização e Fortalecimento da Gestão Fiscal do Estado da Bahia/PROFISCO";17944.001195/2012-08;Linha152;17/12/2013;17/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;45.270.000,00;3.072.705,78;40.804.778,14;
BID2928/OC-BR;11936;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Desenvolvimento Sustentável do Estado do Acre(PDSA Fase II)";17944.001334/2012-95;Linha146;17/07/2013;17/01/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;72.000.000,00;20.000.000,00;49.546.153,85;
BID2933/OC-BR;11937;Pará;Estados;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa da Melhoria da Qualidade e Expansão da Cobertura da Educação Básica do Estado do Pará";17944.001435/2012-66;Linha151;16/12/2013;16/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;200.810.000,00;37.221.347,27;157.049.486,83;
BID2941/OC-BR;11996;Niterói;Municípios;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Desenvolvimento Urbano e Inclusão Social de Niterói ¿ PROCIDADES";17944.001779/2006-27;Linha162;28/02/2014;28/02/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;26.470.000,00;2.680.697,09;22.722.891,72;
BID2957/OC-BR;11986;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Desenvolvimento Econômico do Distrito Federal - ADEs(PROCIDADES)- GDF";17944.001141/2012-34;Linha172;10/09/2014;10/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;50.000.000,00;28.941.027,00;20.532.498,67;
BID2962/OC-BR;11925;Belo Horizonte;Municípios;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Recuperação Ambiental de Belo Horizonte ¿ DRENURBS";17944.001466/2012-17;LINHA154;18/12/2013;18/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;55.000.000,00;9.842.556,04;42.899.571,76;
BID2964/OC-BR;11885;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Viário de Integração e Logística ¿ Ceará IV, do Estado do Ceará";17944.000220/2013-17;Linha160;27/12/2013;27/01/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 2: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;400.000.000,00;0,00;380.000.000,06;
BID2984/OC-BR;11884;Sergipe;Estados;SE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Desenvolvimento do Turismo no Estado de Sergipe ¿ PRODETUR NACIONAL";17944.000314/2013-88;Linha155;18/12/2013;18/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;60.000.000,00;9.858.794,72;15.955.298,86;
BID2992/OC-BR;11976;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Aceleração do Desenvolvimento da Educação do Amazonas ¿ PADEAM.";17944.000215/2013-04;linha168;05/08/2014;05/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;151.180.000,00;53.371.768,78;64.008.231,22;
BID2999/OC-BR;11939;Cascavel;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento Integrado (PDI) do Município de Cascavel";17944.000480/2013-84;Linha161;27/12/2013;27/09/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;28.750.000,00;0,00;27.428.173,12;
BID3001/OC-BR;11997;Alagoas;Estados;AL;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto do Aperfeiçoamento da Gestão Fazendária de Alagoas ¿ PROFISCAL";17944.000800/2010-53;Linha157;23/12/2013;23/07/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;7.000.000,00;0,00;5.825.010,30;
BID3039/OC-BR;11973;Pernambuco;Estados;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social do Estado de Pernambuco.";17944.000736/2013-53;linha153;17/12/2013;30/06/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;400.000.000,00;0,00;374.193.548,38;
BID3040/OC-BR;11982;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Desenvolvimento Fazendário do Distrito Federal ¿ PRODEFAZ/PROFISCO";17944.000557/2011-54;Linha177;29/02/2016;24/02/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;31.997.000,00;11.715.089,35;20.281.910,65;
BID3051/OC-BR;11886;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Projeto de Fortalecimento da Gestão Estadual de Saúde no Estado de São Paulo";17944.000881/2013-34;Linha165;25/06/2014;25/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;270.000.000,00;27.935.458,00;236.187.928,45;
BID3061/OC-BR;11974;Alagoas;Estados;AL;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social do Estado do Alagoas ¿ PROCONFIS/PBL.";17944.000510/2013-52;linha158;23/12/2013;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;250.000.000,00;0,00;225.806.451,61;
BID3065/OC-BR;11929;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Gestão Fiscal do Estado do Paraná ¿ PROFISCO";17944.000787/2013-85;LINHA169;06/08/2014;06/10/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;8.500.000,00;0,00;8.329.092,89;
BID3079/OC-BR;11991;Florianópolis;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Projeto de Expansão e Aperfeiçoamento da Educação Infantil e do Ensino Fundamental em Florianópolis";17944.001063/2012-78;Linha167;14/07/2014;14/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;58.860.000,00;16.946.728,64;41.115.439,58;
BID3127/OC-BR;11940;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Investimento Rodoviário do Estado de São Paulo ¿ 1ª Fase";17944.001216/2013-68;Linha166;25/06/2014;25/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;480.135.000,00;82.326.537,00;387.863.251,42;
BID3129/OC-BR;11887;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa Integrado de Inclusão Social e Requalificação Urbana ¿ Família Paranaense";17944.000167/2013-46;Linha170;06/08/2014;06/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;60.000.000,00;26.441.678,42;32.719.363,54;
BID3137/OC-BR;11981;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa Paraná Seguro";17944.000168/2013-91;TA672685, Linha182;12/01/2017;12/01/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;67.200.000,00;48.950.405,73;18.249.594,27;
BID3138/OC-BR;11928;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Consolidação do Equilíbrio fiscal para o Desenvolvimento do Estado do Rio Grande do Sul - PROCONFIS II";17944.001547/2013-06;LINHA164;29/05/2014;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 2: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;200.000.000,00;0,00;192.000.000,00;
BID3139/OC-BR;11926;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Consolidação do Equilíbrio Fiscal para a Melhoria da Prestação de Serviços Públicos do Estado do Amazonas ¿ PROCONFIS/PBL";17944.001410/2013-43;LINHA159;23/12/2013;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;184.000.000,00;0,00;166.193.548,39;
BID3168/OC-BR;11930;CAESB-DF;Entidades Estaduais Controladas;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BID;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa de Saneamento Ambiental da CAESB";17944.001381/2013-10;TA688240;24/10/2014;24/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Efetiva 2: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;170.840.000,00;93.829.349,14;77.010.650,86;
